Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,712.15,715.62,696.96,705.74,705.74,697900
2019-04-02,703.0,707.76,698.03,704.8,704.8,565200
2019-04-03,704.59,707.66,701.32,705.64,705.64,420100
2019-04-04,704.99,708.86,695.37,703.38,703.38,541200
2019-04-05,703.45,709.68,701.08,708.37,708.37,791100
2019-04-08,708.0,716.49,707.85,714.68,714.68,557600
2019-04-09,713.08,721.21,709.89,710.67,710.67,507400
2019-04-10,711.0,719.44,711.0,718.85,718.85,460500
2019-04-11,711.84,713.02,705.18,707.53,707.53,781800
2019-04-12,707.5,715.25,707.5,712.44,712.44,417200
