Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,57.5,57.65,55.5,56.02,56.02,3181600
2019-04-02,56.22,56.61,55.91,56.35,56.35,4093100
2019-04-03,56.21,56.79,55.96,56.66,56.66,2496600
2019-04-04,56.71,56.88,56.25,56.45,56.45,1479800
2019-04-05,56.32,56.82,56.1,56.8,56.8,1704000
2019-04-08,56.74,57.57,56.74,57.5,57.5,1909400
2019-04-09,57.37,57.59,56.75,57.16,57.16,2285200
2019-04-10,57.24,57.56,56.84,57.55,57.55,2873200
2019-04-11,57.77,57.9,56.89,57.35,57.35,1841600
2019-04-12,57.36,57.85,57.28,57.57,57.57,1710000
