Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,38.82,39.0,38.5,38.66,38.66,11464900
2019-04-02,38.7,38.7,38.34,38.52,38.52,5725200
2019-04-03,38.7,38.74,38.15,38.33,38.33,6895800
2019-04-04,38.45,38.45,37.8,38.16,38.16,4049900
2019-04-05,38.23,38.31,37.93,38.16,38.16,4630100
2019-04-08,38.1,38.21,37.7,38.15,38.15,4870800
2019-04-09,38.06,38.35,37.94,38.21,38.21,4627500
2019-04-10,38.24,38.58,38.19,38.36,38.36,5896200
2019-04-11,38.5,38.51,37.87,37.92,37.92,4887600
2019-04-12,37.95,38.05,37.57,37.73,37.73,4800100
