Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,25.01,25.82,25.01,25.68,25.68,5644800
2019-04-02,25.8,25.95,25.51,25.52,25.52,5216100
2019-04-03,25.65,25.72,24.65,25.0,25.0,4849200
2019-04-04,25.07,25.19,24.64,24.87,24.87,4088300
2019-04-05,24.97,25.81,24.97,25.73,25.73,5460000
2019-04-08,25.76,26.01,25.32,25.47,25.47,5591500
2019-04-09,25.31,25.42,24.43,24.5,24.5,5879600
2019-04-10,24.74,25.32,24.61,25.23,25.23,5371100
2019-04-11,25.04,25.53,24.81,25.13,25.13,4067100
2019-04-12,27.0,27.65,26.58,26.87,26.87,12459700
