Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,191.64,191.68,188.38,191.24,191.24,27862000
2019-04-02,191.09,194.46,191.05,194.02,194.02,22765700
2019-04-03,193.25,196.5,193.15,195.35,195.35,23271800
2019-04-04,194.79,196.37,193.14,195.69,195.69,19114300
2019-04-05,196.45,197.1,195.93,197.0,197.0,18526600
2019-04-08,196.42,200.23,196.34,200.1,200.1,25881700
2019-04-09,200.32,202.85,199.23,199.5,199.5,35768200
2019-04-10,198.68,200.74,198.18,200.62,200.62,21695300
2019-04-11,200.85,201.0,198.44,198.95,198.95,20900800
2019-04-12,199.2,200.14,196.21,198.87,198.87,27760700
