Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,44.31,44.96,43.88,44.9,44.9,3015200
2019-04-02,44.95,44.99,43.88,43.94,43.94,3105800
2019-04-03,44.25,44.67,44.09,44.37,44.37,2026400
2019-04-04,44.62,45.56,44.41,45.55,45.55,2386000
2019-04-05,45.67,46.2,45.45,45.64,45.64,3381800
2019-04-08,45.53,46.03,44.99,45.07,45.07,1620500
2019-04-09,44.76,44.86,44.11,44.17,44.17,1886600
2019-04-10,45.0,46.0,44.29,44.94,44.94,3670200
2019-04-11,45.16,45.69,43.44,43.86,43.86,3634200
2019-04-12,43.95,44.26,43.47,43.83,43.83,2358000
