Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,62.01,62.88,61.16,62.7,62.7,1502400
2019-04-02,62.86,63.35,62.47,62.51,62.51,1545600
2019-04-03,62.5,63.82,62.5,63.45,63.45,1832500
2019-04-04,63.67,64.07,63.43,63.69,63.69,1560800
2019-04-05,63.9,64.13,63.55,63.83,63.83,2196300
2019-04-08,63.97,64.22,63.55,63.76,63.76,1706000
2019-04-09,63.75,63.95,62.33,62.47,62.47,2109300
2019-04-10,62.73,62.94,62.06,62.66,62.66,1322000
2019-04-11,62.64,62.86,62.31,62.6,62.6,1779400
2019-04-12,62.41,67.43,61.86,67.13,67.13,8964300
